path_id,plan_key,event_order,month_index,date,stage,event,amount,balance,floor,attempt,note,strategy_path_id,prefix_application_basis
14,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50190.0,49950.0,1,Drawdown breached,14,ACCOUNT_STATE_BEFORE_PREFIX
14,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50190.0,49950.0,1,capital budget exhausted or rebuys disabled,14,ACCOUNT_STATE_BEFORE_PREFIX
15,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-15,funded,funded_failed,0.0,49718.67411896348,49700.0,1,Drawdown breached,15,ACCOUNT_STATE_BEFORE_PREFIX
15,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49718.67411896348,49700.0,1,capital budget exhausted or rebuys disabled,15,ACCOUNT_STATE_BEFORE_PREFIX
15,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50319.0,49950.0,1,Drawdown breached,15,ACCOUNT_STATE_BEFORE_PREFIX
15,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50319.0,49950.0,1,capital budget exhausted or rebuys disabled,15,ACCOUNT_STATE_BEFORE_PREFIX
16,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,16,ACCOUNT_STATE_BEFORE_PREFIX
16,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,16,ACCOUNT_STATE_BEFORE_PREFIX
16,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,16,ACCOUNT_STATE_BEFORE_PREFIX
16,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,16,ACCOUNT_STATE_BEFORE_PREFIX
17,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50142.0,49700.0,1,Drawdown breached,17,ACCOUNT_STATE_BEFORE_PREFIX
17,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50142.0,49700.0,1,capital budget exhausted or rebuys disabled,17,ACCOUNT_STATE_BEFORE_PREFIX
17,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50142.0,49950.0,1,Drawdown breached,17,ACCOUNT_STATE_BEFORE_PREFIX
17,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50142.0,49950.0,1,capital budget exhausted or rebuys disabled,17,ACCOUNT_STATE_BEFORE_PREFIX
18,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-14,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,18,ACCOUNT_STATE_BEFORE_PREFIX
18,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,18,ACCOUNT_STATE_BEFORE_PREFIX
19,Apex Trader Funding - EOD PA 50K - Funded only,1,2,2026-08-04,funded,funded_failed,0.0,50085.0,49700.0,1,Drawdown breached,19,ACCOUNT_STATE_BEFORE_PREFIX
19,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50085.0,49700.0,1,capital budget exhausted or rebuys disabled,19,ACCOUNT_STATE_BEFORE_PREFIX
19,Alpha Futures - Advanced 50K - Funded only,1,2,2026-08-04,funded,funded_failed,0.0,50085.0,49950.0,1,Drawdown breached,19,ACCOUNT_STATE_BEFORE_PREFIX
19,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50085.0,49950.0,1,capital budget exhausted or rebuys disabled,19,ACCOUNT_STATE_BEFORE_PREFIX
20,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,49728.0,49700.0,1,Drawdown breached,20,ACCOUNT_STATE_BEFORE_PREFIX
20,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49728.0,49700.0,1,capital budget exhausted or rebuys disabled,20,ACCOUNT_STATE_BEFORE_PREFIX
20,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50331.0,49950.0,1,Drawdown breached,20,ACCOUNT_STATE_BEFORE_PREFIX
20,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50331.0,49950.0,1,capital budget exhausted or rebuys disabled,20,ACCOUNT_STATE_BEFORE_PREFIX
21,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49700.0,1,Drawdown breached,21,ACCOUNT_STATE_BEFORE_PREFIX
21,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49700.0,1,capital budget exhausted or rebuys disabled,21,ACCOUNT_STATE_BEFORE_PREFIX
21,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,21,ACCOUNT_STATE_BEFORE_PREFIX
21,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,21,ACCOUNT_STATE_BEFORE_PREFIX
22,Apex Trader Funding - EOD PA 50K - Funded only,1,2,2026-08-05,funded,funded_failed,0.0,50636.88485320029,49700.0,1,Drawdown breached,22,ACCOUNT_STATE_BEFORE_PREFIX
22,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50636.88485320029,49700.0,1,capital budget exhausted or rebuys disabled,22,ACCOUNT_STATE_BEFORE_PREFIX
22,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-11,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,22,ACCOUNT_STATE_BEFORE_PREFIX
22,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,22,ACCOUNT_STATE_BEFORE_PREFIX
23,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50091.0,49700.0,1,Drawdown breached,23,ACCOUNT_STATE_BEFORE_PREFIX
23,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50091.0,49700.0,1,capital budget exhausted or rebuys disabled,23,ACCOUNT_STATE_BEFORE_PREFIX
23,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,50091.0,49950.0,1,Drawdown breached,23,ACCOUNT_STATE_BEFORE_PREFIX
23,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50091.0,49950.0,1,capital budget exhausted or rebuys disabled,23,ACCOUNT_STATE_BEFORE_PREFIX
24,Apex Trader Funding - EOD PA 50K - Funded only,1,2,2026-08-11,funded,funded_failed,0.0,49860.0,49700.0,1,Drawdown breached,24,ACCOUNT_STATE_BEFORE_PREFIX
24,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49860.0,49700.0,1,capital budget exhausted or rebuys disabled,24,ACCOUNT_STATE_BEFORE_PREFIX
24,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,24,ACCOUNT_STATE_BEFORE_PREFIX
24,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,24,ACCOUNT_STATE_BEFORE_PREFIX
25,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50001.0,49700.0,1,Drawdown breached,25,ACCOUNT_STATE_BEFORE_PREFIX
25,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50001.0,49700.0,1,capital budget exhausted or rebuys disabled,25,ACCOUNT_STATE_BEFORE_PREFIX
25,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50001.0,49950.0,1,Drawdown breached,25,ACCOUNT_STATE_BEFORE_PREFIX
25,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50001.0,49950.0,1,capital budget exhausted or rebuys disabled,25,ACCOUNT_STATE_BEFORE_PREFIX
26,Apex Trader Funding - EOD PA 50K - Funded only,1,2,2026-08-14,funded,funded_failed,0.0,49754.506147093445,49700.0,1,Drawdown breached,26,ACCOUNT_STATE_BEFORE_PREFIX
