master_path_version,master_path_id,rr_config_id,config,config_label,sequence_number,event_group_id,configuration_alternative_group_id,status,record_type,session_date,entry_time,exit_time,direction,exit_reason,effective_exit_reason,pnl_points,raw_stop_points,effective_stop_points,target_points,mae_points,mfe_points,source_trade_packet_id,source_type,evidence_status,excursion_confidence,mutually_exclusive_config_alternative,path_id,was_executed,candidate_pnl_points,executed_pnl_points,timestamp_policy,holding_duration_minutes,rolling_pf_before,gate_state_before,source_ledger_id,source_session_date,source_month,source_entry_time,source_exit_time,source_exit_reason,master_seed,mc_seed,prefix_application_basis,pf_scenario,regime_scenario,point_scale_scenario,strict_barrier_status,expected_weighted_source_pf,realized_prefix_net_points,forward_only_net_points,combined_net_points,cumulative_realized_points,cumulative_forward_only_points,cumulative_combined_points
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,14,SYNTHETIC_PATH_00050_SEQ_014,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-06,2026-08-06T13:33:00+00:00,2026-08-06T14:12:00+00:00,long,SL,SL,-17.25,17.25,17.25,17.25,19.27468506050036,5.97531493949964,1rr|external_2013_2015|150_lower|2013-08-15 09:33:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,50,True,-17.25,-17.25,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,39.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,external_2013_2015,2013-08-15,8,2013-08-15 09:33:00-04:00,2013-08-15 10:12:00-04:00,SL,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,-469.20583248526236,-519.2058324852624,-50.0,-233.70583248526236,-283.70583248526236
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,15,SYNTHETIC_PATH_00050_SEQ_015,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-07,2026-08-07T13:32:00+00:00,2026-08-07T13:40:00+00:00,short,SL,SL,-25.125,25.125,25.125,25.125,33.74732952618069,17.502670473819308,1rr|validation|928_upper|2021-08-23 09:32:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,50,True,-25.125,-25.125,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,8.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2021-08-23,8,2021-08-23 09:32:00-04:00,2021-08-23 09:40:00-04:00,SL,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,-469.20583248526236,-519.2058324852624,-50.0,-258.83083248526236,-308.83083248526236
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,16,SYNTHETIC_PATH_00050_SEQ_016,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-10,2026-08-10T12:07:00+00:00,2026-08-10T13:00:00+00:00,long,BE,BE,0.0,24.375,24.375,24.375,9.999306880967197,14.750693119032803,1rr|build_years|1447_lower|2023-08-16 20:19:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,50,True,0.0,0.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,53.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2023-08-17,8,2023-08-16 20:19:00-04:00,2023-08-16 21:12:00-04:00,BE,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,-469.20583248526236,-519.2058324852624,-50.0,-258.83083248526236,-308.83083248526236
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,17,SYNTHETIC_PATH_00050_SEQ_017,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-11,2026-08-11T13:54:00+00:00,2026-08-11T14:30:00+00:00,long,SL,SL,-6.75,6.75,6.75,6.75,7.626939951201166,2.123060048798834,1rr|external_2013_2015|148_lower|2013-08-06 09:54:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,50,True,-6.75,-6.75,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,36.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,external_2013_2015,2013-08-06,8,2013-08-06 09:54:00-04:00,2013-08-06 10:30:00-04:00,SL,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,-469.20583248526236,-519.2058324852624,-50.0,-265.58083248526236,-315.58083248526236
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,18,SYNTHETIC_PATH_00050_SEQ_018,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-12,2026-08-12T13:50:00+00:00,2026-08-12T14:57:00+00:00,long,SL,SL,-51.0,51.0,51.0,51.0,53.52502596693557,8.724974033064427,1rr|validation|1190_lower|2022-08-19 09:50:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,50,True,-51.0,-51.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,67.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2022-08-19,8,2022-08-19 09:50:00-04:00,2022-08-19 10:57:00-04:00,SL,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,-469.20583248526236,-519.2058324852624,-50.0,-316.58083248526236,-366.58083248526236
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,19,SYNTHETIC_PATH_00050_SEQ_019,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-13,2026-08-13T08:24:00+00:00,2026-08-13T17:26:00+00:00,short,SL,SL,-120.75,120.75,120.75,120.75,124.16980871916348,34.830191280836516,1rr|build_years|1449_upper|2023-08-21 04:24:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,50,True,-120.75,-120.75,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,542.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2023-08-21,8,2023-08-21 04:24:00-04:00,2023-08-21 13:26:00-04:00,SL,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,-469.20583248526236,-519.2058324852624,-50.0,-437.33083248526236,-487.33083248526236
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,20,SYNTHETIC_PATH_00050_SEQ_020,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-14,2026-08-14T12:30:00+00:00,2026-08-14T13:30:00+00:00,short,BE,BE,-0.0,68.25,68.25,68.25,15.516921843503953,41.48307815649605,1rr|validation|1181_upper|2022-08-11 08:30:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,50,True,-0.0,-0.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,60.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2022-08-11,8,2022-08-11 08:30:00-04:00,2022-08-11 09:30:00-04:00,BE,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,-469.20583248526236,-519.2058324852624,-50.0,-437.33083248526236,-487.33083248526236
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,21,SYNTHETIC_PATH_00050_SEQ_021,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-17,2026-08-17T13:54:00+00:00,2026-08-17T14:30:00+00:00,long,SL,SL,-6.75,6.75,6.75,6.75,7.626939951201166,2.123060048798834,1rr|external_2013_2015|148_lower|2013-08-06 09:54:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,50,True,-6.75,-6.75,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,36.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,external_2013_2015,2013-08-06,8,2013-08-06 09:54:00-04:00,2013-08-06 10:30:00-04:00,SL,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,-469.20583248526236,-519.2058324852624,-50.0,-444.08083248526236,-494.08083248526236
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,22,SYNTHETIC_PATH_00050_SEQ_022,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-18,2026-08-18T13:46:00+00:00,2026-08-18T14:02:00+00:00,short,SL,SL,-25.125,25.125,25.125,25.125,33.57860330011681,7.921396699883189,1rr|validation|922_upper|2021-08-23 09:46:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,50,True,-25.125,-25.125,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,16.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2021-08-23,8,2021-08-23 09:46:00-04:00,2021-08-23 10:02:00-04:00,SL,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,-469.20583248526236,-519.2058324852624,-50.0,-469.20583248526236,-519.2058324852624
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,1,REALIZED_SIGNAL_2026_07_07,CURRENT_REALIZED_RR_ALTERNATIVES,REALIZED,EXECUTED_TRADE,2026-07-07,,,,TP,TP,150.0,,,,,,,USER_CONFIRMED,USER_CONFIRMED_REALIZED_OUTCOME,UNKNOWN_USER_CONFIRMED,True,51,True,150.0,150.0,USER_CONFIRMED_DATE_ONLY,,,CONFIRMED_REALIZED_EXECUTED,,,,,,,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,UNKNOWN,1.5683691646950209,-50.0,538.1882683866806,488.18826838668065,150.0,0.0,150.0
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,2,REALIZED_SIGNAL_2026_07_08,CURRENT_REALIZED_RR_ALTERNATIVES,REALIZED,EXECUTED_TRADE,2026-07-08,,,,SL,SL,-200.0,,,,,,,USER_CONFIRMED,USER_CONFIRMED_REALIZED_OUTCOME,UNKNOWN_USER_CONFIRMED,True,51,True,-200.0,-200.0,USER_CONFIRMED_DATE_ONLY,,,CONFIRMED_REALIZED_EXECUTED,,,,,,,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,UNKNOWN,1.5683691646950209,-50.0,538.1882683866806,488.18826838668065,-50.0,0.0,-50.0
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,3,SYNTHETIC_PATH_00051_SEQ_003,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-09,2026-07-09T01:45:00+00:00,2026-07-09T07:00:00+00:00,short,TP,TP,11.25,11.25,11.25,11.25,5.465651068183433,12.534348931816568,1rr|build_years|137_upper|2018-07-23 21:45:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,51,True,11.25,11.25,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,315.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2018-07-24,7,2018-07-23 21:45:00-04:00,2018-07-24 03:00:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,538.1882683866806,488.18826838668065,-50.0,11.25,-38.75
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,4,SYNTHETIC_PATH_00051_SEQ_004,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-10,2026-07-10T01:00:00+00:00,2026-07-10T13:40:00+00:00,long,SL,SL,-27.75,27.75,27.75,27.75,32.185882126801516,7.314117873198484,1rr|build_years|140_lower|2018-07-22 21:00:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,51,True,-27.75,-27.75,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,760.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2018-07-23,7,2018-07-22 21:00:00-04:00,2018-07-23 09:40:00-04:00,SL,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,538.1882683866806,488.18826838668065,-50.0,-16.5,-66.5
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,5,SYNTHETIC_PATH_00051_SEQ_005,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-13,2026-07-13T08:11:00+00:00,2026-07-13T10:05:00+00:00,short,TP,TP,27.375,27.375,27.375,27.375,6.221722017064167,40.52827798293583,1rr|build_years|1407_upper|2023-07-03 04:11:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,51,True,27.375,27.375,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,114.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2023-07-03,7,2023-07-03 04:11:00-04:00,2023-07-03 06:05:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,538.1882683866806,488.18826838668065,-50.0,10.875,-39.125
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,6,SYNTHETIC_PATH_00051_SEQ_006,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-14,2026-07-13T23:06:00+00:00,2026-07-14T08:24:00+00:00,short,TP,TP,154.5,154.5,154.5,154.5,19.421619046419437,158.07838095358056,1rr|validation|1158_upper|2022-07-04 19:06:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,51,True,154.5,154.5,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,558.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2022-07-05,7,2022-07-04 19:06:00-04:00,2022-07-05 04:24:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,1.5683691646950209,-50.0,538.1882683866806,488.18826838668065,-50.0,165.375,115.375
