rr_config_id,path_id,sequence_number,status,record_type,session_date,entry_time,exit_time,holding_duration_minutes,direction,exit_reason,effective_exit_reason,pnl_points,candidate_pnl_points,executed_pnl_points,raw_stop_points,effective_stop_points,target_points,mae_points,mfe_points,cumulative_realized_points,cumulative_forward_only_points,cumulative_combined_points,source_trade_packet_id,source_session_date,source_entry_time,source_exit_time,source_exit_reason,source_ledger_id,evidence_status,excursion_confidence,strict_barrier_status,timestamp_policy,pf_scenario,expectancy_tilt,expected_weighted_source_pf,requested_target_pf,achieved_weighted_source_pf,normalized_source_packet_count,july_source_packet_count,august_source_packet_count,july_source_wins,july_source_losses,july_source_breakevens,august_source_wins,august_source_losses,august_source_breakevens,calibration_winner_multiplier,regime_scenario,point_scale_scenario,geometry_policy,min_effective_stop_points,max_effective_stop_points
1rr,0,1,REALIZED,EXECUTED_TRADE,2026-07-07,,,,,TP,TP,150.0,150.0,150.0,,,,,,150.0,0.0,150.0,,,,,,,USER_CONFIRMED_REALIZED_OUTCOME,UNKNOWN_USER_CONFIRMED,UNKNOWN,USER_CONFIRMED_DATE_ONLY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,2,REALIZED,EXECUTED_TRADE,2026-07-08,,,,,SL,SL,-200.0,-200.0,-200.0,,,,,,-50.0,0.0,-50.0,,,,,,,USER_CONFIRMED_REALIZED_OUTCOME,UNKNOWN_USER_CONFIRMED,UNKNOWN,USER_CONFIRMED_DATE_ONLY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,13,SYNTHETIC,HISTORICAL_PACKET,2026-08-05,2026-08-05T09:00:00+00:00,2026-08-05T10:54:00+00:00,114.0,short,TP,TP,100.0,100.0,100.0,100.0,100.0,100.0,4.122619205554655,101.4329363500009,-50.0,100.00000000000003,50.00000000000003,1rr|external_2013_2015|152_upper|2013-08-13 05:00:00-04:00,2013-08-13,2013-08-13 05:00:00-04:00,2013-08-13 06:54:00-04:00,TP,external_2013_2015,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,14,SYNTHETIC,HISTORICAL_PACKET,2026-08-06,2026-08-06T03:02:00+00:00,2026-08-06T04:41:00+00:00,99.0,short,BE,BE,0.0,0.0,0.0,100.0,100.0,100.0,34.15284071937398,114.33200776547451,-50.0,100.00000000000003,50.00000000000003,1rr|build_years|153_upper|2018-08-06 23:02:00-04:00,2018-08-07,2018-08-06 23:02:00-04:00,2018-08-07 00:41:00-04:00,BE,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,15,SYNTHETIC,HISTORICAL_PACKET,2026-08-07,2026-08-07T13:53:00+00:00,2026-08-07T14:57:00+00:00,64.0,short,TP,TP,100.0,100.0,100.0,100.0,100.0,100.0,77.46119335763444,108.74570319408966,-50.0,200.00000000000003,150.00000000000003,1rr|build_years|161_upper|2018-08-23 09:53:00-04:00,2018-08-23,2018-08-23 09:53:00-04:00,2018-08-23 10:57:00-04:00,TP,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,16,SYNTHETIC,HISTORICAL_PACKET,2026-08-10,2026-08-10T13:31:00+00:00,2026-08-10T13:56:00+00:00,25.0,long,SL,SL,-100.0,-100.0,-100.0,100.0,100.0,100.0,105.68875780881166,61.60683967546507,-50.0,100.00000000000003,50.00000000000003,1rr|validation|1181_lower|2022-08-09 09:31:00-04:00,2022-08-09,2022-08-09 09:31:00-04:00,2022-08-09 09:56:00-04:00,SL,validation,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,17,SYNTHETIC,HISTORICAL_PACKET,2026-08-11,2026-08-11T06:58:00+00:00,2026-08-11T07:52:00+00:00,54.0,long,BE,BE,0.0,0.0,0.0,99.99999999999999,100.0,99.99999999999999,34.698459625187034,48.228369643105644,-50.0,100.00000000000003,50.00000000000003,1rr|validation|917_lower|2021-08-19 02:58:00-04:00,2021-08-19,2021-08-19 02:58:00-04:00,2021-08-19 03:52:00-04:00,BE,validation,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,18,SYNTHETIC,HISTORICAL_PACKET,2026-08-12,2026-08-12T12:07:00+00:00,2026-08-12T13:00:00+00:00,53.0,long,BE,BE,0.0,0.0,0.0,99.99999999999999,100.0,99.99999999999999,41.02279746037824,60.51566407808329,-50.0,100.00000000000003,50.00000000000003,1rr|build_years|1447_lower|2023-08-16 20:19:00-04:00,2023-08-17,2023-08-16 20:19:00-04:00,2023-08-16 21:12:00-04:00,BE,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,19,SYNTHETIC,HISTORICAL_PACKET,2026-08-13,2026-08-13T07:50:00+00:00,2026-08-13T08:07:00+00:00,17.0,long,SL,SL,-100.0,-100.0,-100.0,100.0,100.0,100.0,115.96852908474187,36.97264738584636,-50.0,2.842170943040401e-14,-49.99999999999997,1rr|external_2013_2015|163_lower|2013-08-27 03:50:00-04:00,2013-08-27,2013-08-27 03:50:00-04:00,2013-08-27 04:07:00-04:00,SL,external_2013_2015,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,20,SYNTHETIC,HISTORICAL_PACKET,2026-08-14,2026-08-14T06:05:00+00:00,2026-08-14T07:11:00+00:00,66.0,short,SL,SL,-100.0,-100.0,-100.0,100.0,100.0,100.0,112.0513209680925,48.732992757397696,-50.0,-99.99999999999997,-149.99999999999997,1rr|build_years|663_upper|2020-08-05 02:05:00-04:00,2020-08-05,2020-08-05 02:05:00-04:00,2020-08-05 03:11:00-04:00,SL,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,21,SYNTHETIC,HISTORICAL_PACKET,2026-08-17,2026-08-17T02:28:00+00:00,2026-08-17T04:32:00+00:00,124.0,short,BE,BE,0.0,0.0,0.0,100.0,100.0,100.0,0.6134812713074971,62.87858222075599,-50.0,-99.99999999999997,-149.99999999999997,1rr|build_years|168_upper|2018-08-28 22:28:00-04:00,2018-08-29,2018-08-28 22:28:00-04:00,2018-08-29 00:32:00-04:00,BE,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
1rr,0,22,SYNTHETIC,HISTORICAL_PACKET,2026-08-18,2026-08-18T09:02:00+00:00,2026-08-18T13:00:00+00:00,238.0,long,TP,TP,100.0,100.0,100.0,100.0,100.0,100.0,3.2318326258482064,107.57897818496261,-50.0,2.842170943040401e-14,-49.99999999999997,1rr|build_years|164_lower|2018-08-21 19:14:00-04:00,2018-08-22,2018-08-21 19:14:00-04:00,2018-08-21 23:12:00-04:00,TP,build_years,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,AVAILABLE,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,TARGET_PF,0.0,1.5000000000000004,1.5,1.5000000000000004,753,50,54,21,12,17,16,20,18,1.3451817418616354,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0
