path_id,plan_key,event_order,month_index,date,stage,event,amount,balance,floor,attempt,note,strategy_path_id,account_path_id,prefix_application_basis
42,TakeProfitTrader - PRO 50K - Funded only,2,2,2026-08-06,funded,funded_failed,0.0,50000.0,50000.0,1,Drawdown breached,10,42,ACCOUNT_STATE_BEFORE_PREFIX
42,TakeProfitTrader - PRO 50K - Funded only,3,2,2026-08-18,funded,terminal,0.0,50000.0,50000.0,1,capital budget exhausted or rebuys disabled,10,42,ACCOUNT_STATE_BEFORE_PREFIX
43,TakeProfitTrader - PRO 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,49600.0,49206.38365473335,1,Drawdown breached,10,43,ACCOUNT_STATE_BEFORE_PREFIX
43,TakeProfitTrader - PRO 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49600.0,49206.38365473335,1,capital budget exhausted or rebuys disabled,10,43,ACCOUNT_STATE_BEFORE_PREFIX
45,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-16,funded,payout,1500.0,53772.0,50100.0,1,Payout taken; consistency state reset; gross_account_debit=1500.00; trader_profit_split=1.00,11,45,ACCOUNT_STATE_BEFORE_PREFIX
45,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-13,funded,payout,1500.0,55356.0,50100.0,1,Payout taken; consistency state reset; gross_account_debit=1500.00; trader_profit_split=1.00,11,45,ACCOUNT_STATE_BEFORE_PREFIX
46,TakeProfitTrader - PRO 50K - Funded only,1,2,2026-08-05,funded,payout,1679.6000000000001,50000.0,50000.0,1,Payout taken; consistency state reset; gross_account_debit=2099.50; trader_profit_split=0.80,11,46,ACCOUNT_STATE_BEFORE_PREFIX
46,TakeProfitTrader - PRO 50K - Funded only,2,2,2026-08-06,funded,funded_failed,0.0,50000.0,50000.0,1,Drawdown breached,11,46,ACCOUNT_STATE_BEFORE_PREFIX
46,TakeProfitTrader - PRO 50K - Funded only,3,2,2026-08-18,funded,terminal,0.0,50000.0,50000.0,1,capital budget exhausted or rebuys disabled,11,46,ACCOUNT_STATE_BEFORE_PREFIX
47,TakeProfitTrader - PRO 50K - Funded only,1,1,2026-07-14,funded,payout,1657.6000000000001,50000.0,50000.0,1,Payout taken; consistency state reset; gross_account_debit=2072.00; trader_profit_split=0.80,11,47,ACCOUNT_STATE_BEFORE_PREFIX
47,TakeProfitTrader - PRO 50K - Funded only,2,1,2026-07-15,funded,funded_failed,0.0,50000.0,50000.0,1,Drawdown breached,11,47,ACCOUNT_STATE_BEFORE_PREFIX
47,TakeProfitTrader - PRO 50K - Funded only,3,2,2026-08-18,funded,terminal,0.0,50000.0,50000.0,1,capital budget exhausted or rebuys disabled,11,47,ACCOUNT_STATE_BEFORE_PREFIX
49,Apex Trader Funding - EOD PA 50K - Funded only,1,2,2026-08-05,funded,payout,1187.0,52100.0,50100.0,1,Payout taken; consistency state reset; gross_account_debit=1187.00; trader_profit_split=1.00,12,49,ACCOUNT_STATE_BEFORE_PREFIX
49,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-17,funded,funded_failed,0.0,51092.0,50100.0,1,Drawdown breached,12,49,ACCOUNT_STATE_BEFORE_PREFIX
49,Apex Trader Funding - EOD PA 50K - Funded only,3,2,2026-08-18,funded,terminal,0.0,51092.0,50100.0,1,capital budget exhausted or rebuys disabled,12,49,ACCOUNT_STATE_BEFORE_PREFIX
51,TakeProfitTrader - PRO 50K - Funded only,1,1,2026-07-10,funded,payout,1657.6000000000001,50000.0,50000.0,1,Payout taken; consistency state reset; gross_account_debit=2072.00; trader_profit_split=0.80,12,51,ACCOUNT_STATE_BEFORE_PREFIX
51,TakeProfitTrader - PRO 50K - Funded only,2,1,2026-07-13,funded,funded_failed,0.0,50000.0,50000.0,1,Drawdown breached,12,51,ACCOUNT_STATE_BEFORE_PREFIX
51,TakeProfitTrader - PRO 50K - Funded only,3,2,2026-08-18,funded,terminal,0.0,50000.0,50000.0,1,capital budget exhausted or rebuys disabled,12,51,ACCOUNT_STATE_BEFORE_PREFIX
53,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-09,funded,funded_failed,0.0,49600.0,49200.0,1,Drawdown breached,13,53,ACCOUNT_STATE_BEFORE_PREFIX
53,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49600.0,49200.0,1,capital budget exhausted or rebuys disabled,13,53,ACCOUNT_STATE_BEFORE_PREFIX
