rr_config_id,path_id,master_seed,mc_seed,prefix_application_basis,pf_scenario,expectancy_tilt,expected_weighted_source_pf,requested_target_pf,achieved_weighted_source_pf,normalized_source_packet_count,july_source_packet_count,august_source_packet_count,july_source_wins,july_source_losses,july_source_breakevens,august_source_wins,august_source_losses,august_source_breakevens,calibration_winner_multiplier,regime_scenario,point_scale_scenario,geometry_policy,min_effective_stop_points,max_effective_stop_points,realized_prefix_net_points,forward_only_net_points,combined_net_points,synthetic_trades,unknown_realized_excursions
1_5rr,54,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,TARGET_PF,0.0,1.5000000000000002,1.5,1.5000000000000002,787,56,54,18,16,22,12,23,19,1.3988858603413408,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0,-200.0,-470.75,-670.75,20,2
1_5rr,55,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,TARGET_PF,0.0,1.5000000000000002,1.5,1.5000000000000002,787,56,54,18,16,22,12,23,19,1.3988858603413408,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0,-200.0,704.375,504.375,20,2
1_5rr,56,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,TARGET_PF,0.0,1.5000000000000002,1.5,1.5000000000000002,787,56,54,18,16,22,12,23,19,1.3988858603413408,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0,-200.0,-800.0,-1000.0,20,2
1_5rr,57,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,TARGET_PF,0.0,1.5000000000000002,1.5,1.5000000000000002,787,56,54,18,16,22,12,23,19,1.3988858603413408,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0,-200.0,450.0,250.0,20,2
1_5rr,58,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,TARGET_PF,0.0,1.5000000000000002,1.5,1.5000000000000002,787,56,54,18,16,22,12,23,19,1.3988858603413408,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0,-200.0,300.0,100.0,20,2
1_5rr,59,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,TARGET_PF,0.0,1.5000000000000002,1.5,1.5000000000000002,787,56,54,18,16,22,12,23,19,1.3988858603413408,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0,-200.0,427.1875,227.1875,20,2
1_5rr,60,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,TARGET_PF,0.0,1.5000000000000002,1.5,1.5000000000000002,787,56,54,18,16,22,12,23,19,1.3988858603413408,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0,-200.0,800.0,600.0,20,2
1_5rr,61,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,TARGET_PF,0.0,1.5000000000000002,1.5,1.5000000000000002,787,56,54,18,16,22,12,23,19,1.3988858603413408,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0,-200.0,150.0,-50.0,20,2
1_5rr,62,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,TARGET_PF,0.0,1.5000000000000002,1.5,1.5000000000000002,787,56,54,18,16,22,12,23,19,1.3988858603413408,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0,-200.0,227.1875,27.1875,20,2
1_5rr,63,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,TARGET_PF,0.0,1.5000000000000002,1.5,1.5000000000000002,787,56,54,18,16,22,12,23,19,1.3988858603413408,stable,current,NORMALIZE_TO_FORWARD_RANGE,100.0,200.0,-200.0,308.9375,108.9375,20,2
